Path,Name,N_Tracks
data/midi-classic-music/midiclassics/Chabrier/Souvenirs.mid,Souvenirs.mid,1.0
data/midi-classic-music/midiclassics/Chaminade/Calirro Op.37 No.4.mid,Calirro Op.37 No.4.mid,1.0
"data/midi-classic-music/midiclassics/Chaminade/Chaminade, Lolita Caprice Espagnol Op54.mid","Chaminade, Lolita Caprice Espagnol Op54.mid",1.0
"data/midi-classic-music/midiclassics/Chaminade/Opus.76, No.6 title.mid","Opus.76, No.6 title.mid",1.0
data/midi-classic-music/midiclassics/Chaminade/Six concert Etudes Op35 No.5 in D flat Autumn.mid,Six concert Etudes Op35 No.5 in D flat Autumn.mid,1.0
"data/midi-classic-music/midiclassics/Chopin/(2542)Prelude opus.28, No.16 in B flat minor.mid","(2542)Prelude opus.28, No.16 in B flat minor.mid",1.0
data/midi-classic-music/midiclassics/Chopin/Ballade No.2 in F Major.mid,Ballade No.2 in F Major.mid,1.0
data/midi-classic-music/midiclassics/Chopin/Barcarolle in F sharp Major.mid,Barcarolle in F sharp Major.mid,1.0
data/midi-classic-music/midiclassics/Chopin/Ecossaise No.2 in G.mid,Ecossaise No.2 in G.mid,1.0
data/midi-classic-music/midiclassics/Chopin/Etude No.1.mid,Etude No.1.mid,1.0
data/midi-classic-music/midiclassics/Chopin/Etude No.2 in A Minor.mid,Etude No.2 in A Minor.mid,1.0
"data/midi-classic-music/midiclassics/Chopin/Etude No.7 in C Major Opus.10, No.7.mid","Etude No.7 in C Major Opus.10, No.7.mid",1.0
data/midi-classic-music/midiclassics/Chopin/Etude Op.10 No.11.mid,Etude Op.10 No.11.mid,1.0
data/midi-classic-music/midiclassics/Chopin/Etude op10 n02.mid,Etude op10 n02.mid,1.0
data/midi-classic-music/midiclassics/Chopin/Etude op10 n03.mid,Etude op10 n03.mid,1.0
data/midi-classic-music/midiclassics/Chopin/Etude op10 n04 Drchew.mid,Etude op10 n04 Drchew.mid,1.0
data/midi-classic-music/midiclassics/Chopin/Etude op10 n06.mid,Etude op10 n06.mid,1.0
data/midi-classic-music/midiclassics/Chopin/Etude op10 n07.mid,Etude op10 n07.mid,1.0
data/midi-classic-music/midiclassics/Chopin/Etude op10 n08.mid,Etude op10 n08.mid,1.0
data/midi-classic-music/midiclassics/Chopin/Etude op10 n09.mid,Etude op10 n09.mid,1.0
data/midi-classic-music/midiclassics/Chopin/Etude op10 n10.mid,Etude op10 n10.mid,1.0
data/midi-classic-music/midiclassics/Chopin/Etude op10 n11.mid,Etude op10 n11.mid,1.0
data/midi-classic-music/midiclassics/Chopin/Etude op25 n05.mid,Etude op25 n05.mid,1.0
data/midi-classic-music/midiclassics/Chopin/Etude op25 n08.mid,Etude op25 n08.mid,1.0
data/midi-classic-music/midiclassics/Chopin/Finale to B Minor Paino Sonata.mid,Finale to B Minor Paino Sonata.mid,1.0
data/midi-classic-music/midiclassics/Chopin/Imprompt Fantastique.mid,Imprompt Fantastique.mid,1.0
data/midi-classic-music/midiclassics/Chopin/Impromptu n3 op51.mid,Impromptu n3 op51.mid,1.0
data/midi-classic-music/midiclassics/Chopin/Mazurka op30 n2 Drchew.mid,Mazurka op30 n2 Drchew.mid,1.0
data/midi-classic-music/midiclassics/Chopin/Mazurka op33 n2 Drchew.mid,Mazurka op33 n2 Drchew.mid,1.0
data/midi-classic-music/midiclassics/Chopin/Mazurka op67 n3 Drchew.mid,Mazurka op67 n3 Drchew.mid,1.0
data/midi-classic-music/midiclassics/Chopin/Mazurka op68 n2 Drchew.mid,Mazurka op68 n2 Drchew.mid,1.0
"data/midi-classic-music/midiclassics/Chopin/Nocturne No.1, Opus.62.mid","Nocturne No.1, Opus.62.mid",1.0
data/midi-classic-music/midiclassics/Chopin/Op.53 'Polonaise in A flat' Heroic.mid,Op.53 'Polonaise in A flat' Heroic.mid,1.0
data/midi-classic-music/midiclassics/Chopin/Scherzo n1 op20.mid,Scherzo n1 op20.mid,1.0
"data/midi-classic-music/midiclassics/Chopin/Scherzo No.2, Opus.31.mid","Scherzo No.2, Opus.31.mid",1.0
data/midi-classic-music/midiclassics/Chopin/Sonata No.3 1st Mov Allegro.mid,Sonata No.3 1st Mov Allegro.mid,1.0
"data/midi-classic-music/midiclassics/Chopin/Sonata No.3, 2nd Mov, Scherzo.mid","Sonata No.3, 2nd Mov, Scherzo.mid",1.0
data/midi-classic-music/midiclassics/Chopin/Tarantella.mid,Tarantella.mid,1.0
data/midi-classic-music/midiclassics/Chopin/Winter wind etude.mid,Winter wind etude.mid,1.0
data/midi-classic-music/midiclassics/Clementi/clemm.mid,clemm.mid,1.0
data/midi-classic-music/midiclassics/Clementi/clemm2.mid,clemm2.mid,1.0
data/midi-classic-music/midiclassics/Clementi/clemm3.mid,clemm3.mid,1.0
data/midi-classic-music/midiclassics/Clementi/Sonata n5 op25 1mov.mid,Sonata n5 op25 1mov.mid,1.0
data/midi-classic-music/midiclassics/Clementi/Sonata n5 op25 2mov.mid,Sonata n5 op25 2mov.mid,1.0
data/midi-classic-music/midiclassics/Clementi/Sonata n5 op25 3mov.mid,Sonata n5 op25 3mov.mid,1.0
"data/midi-classic-music/midiclassics/Clementi/Sonatina Opus.36, No.4.mid","Sonatina Opus.36, No.4.mid",1.0
data/midi-classic-music/midiclassics/Clementi/Studio Gradus Ad Parnassum n16.mid,Studio Gradus Ad Parnassum n16.mid,1.0
data/midi-classic-music/midiclassics/Clementi/Studio Gradus Ad Parnassum n17.mid,Studio Gradus Ad Parnassum n17.mid,1.0
data/midi-classic-music/midiclassics/Clementi/Studio Gradus Ad Parnassum n26.mid,Studio Gradus Ad Parnassum n26.mid,1.0
data/midi-classic-music/midiclassics/Clementi/Studio Gradus Ad Parnassum n65.mid,Studio Gradus Ad Parnassum n65.mid,1.0
data/midi-classic-music/midiclassics/Cramer/Studies for Piano No.1.mid,Studies for Piano No.1.mid,1.0
data/midi-classic-music/midiclassics/Cramer/Studies for Piano No.15.mid,Studies for Piano No.15.mid,1.0
data/midi-classic-music/midiclassics/Cramer/Studies for Piano No.19.mid,Studies for Piano No.19.mid,1.0
data/midi-classic-music/midiclassics/Cramer/Studies for Piano No.20.mid,Studies for Piano No.20.mid,1.0
data/midi-classic-music/midiclassics/Cramer/Studies for Piano No.27.mid,Studies for Piano No.27.mid,1.0
data/midi-classic-music/midiclassics/Cramer/Studies for Piano No.34.mid,Studies for Piano No.34.mid,1.0
data/midi-classic-music/midiclassics/Cramer/Studies for Piano No.39.mid,Studies for Piano No.39.mid,1.0
data/midi-classic-music/midiclassics/Cramer/Studies for Piano No.41.mid,Studies for Piano No.41.mid,1.0
data/midi-classic-music/midiclassics/Cramer/Studies for Piano No.43.mid,Studies for Piano No.43.mid,1.0
data/midi-classic-music/midiclassics/Cramer/Studies for Piano No.5.mid,Studies for Piano No.5.mid,1.0
data/midi-classic-music/midiclassics/Cramer/Studies for Piano No.7.mid,Studies for Piano No.7.mid,1.0
data/midi-classic-music/midiclassics/Czerny/Czerny ''Die Schule Der Gelaufigkeit'' op299 n21.mid,Czerny ''Die Schule Der Gelaufigkeit'' op299 n21.mid,1.0
"data/midi-classic-music/midiclassics/Debussy/Children Corner, Dr Gradus ad Parnassum.mid","Children Corner, Dr Gradus ad Parnassum.mid",1.0
